Protein Accession ID,Protein Name and Description,Alignment Length,Start Query,End Query,Start Hit,End Hit,Identity
KAL0829671,gb|KAL0829671.1| hypothetical protein ABMA28_003177 [Loxostege sticticalis],349,3,351,1,349,158
AAC52011,gb|AAC52011.1| mariner transposase [Homo sapiens],351,1,351,1,351,351
CAK1585564,emb|CAK1585564.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,163
KAL0811820,gb|KAL0811820.1| hypothetical protein ABMA28_009248 [Loxostege sticticalis],349,3,351,1,349,156
KAL0850523,gb|KAL0850523.1| hypothetical protein ABMA28_012310 [Loxostege sticticalis],349,3,351,1,349,157
CAK1593061,emb|CAK1593061.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,163
CAK1587321,emb|CAK1587321.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,163
CAK1596260,emb|CAK1596260.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,165
CAK1602275,emb|CAK1602275.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,162
GFT98876,dbj|GFT98876.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,42,390,150
GFX20684,dbj|GFX20684.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,42,390,150
CAK1599094,emb|CAK1599094.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,163
CAK1601854,emb|CAK1601854.1| unnamed protein product [Parnassius mnemosyne],350,3,351,1,350,162
GFV05593,dbj|GFV05593.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,42,390,150
GFS73022,dbj|GFS73022.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,42,390,149
GFX42336,dbj|GFX42336.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,42,390,150
UYV62839,gb|UYV62839.1| hypothetical protein LAZ67_2002104 [Cordylochernes scorpioides],347,5,350,105,450,142
CAK1582303,emb|CAK1582303.1| unnamed protein product [Parnassius mnemosyne],351,3,351,1,351,163
CAK1592178,emb|CAK1592178.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,160
GFV45385,dbj|GFV45385.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,42,390,150
GFW48489,dbj|GFW48489.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,7,355,150
MET0106909,gb|MET0106909.1| hypothetical protein [Sedimenticola sp.],349,3,351,1,348,157
CAK1604531,emb|CAK1604531.1| unnamed protein product [Parnassius mnemosyne],350,3,351,129,478,161
UYV62450,gb|UYV62450.1| hypothetical protein LAZ67_2000633 [Cordylochernes scorpioides],347,5,350,219,564,141
XP_026314672,ref|XP_026314672.1| histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa],347,5,351,3,349,156
CAK1600613,emb|CAK1600613.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,160
CAK1586598,emb|CAK1586598.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,158
CAP20051,emb|CAP20051.1| transposase [Portunus pelagicus],351,1,351,1,349,158
UYV82950,gb|UYV82950.1| hypothetical protein LAZ67_22001500 [Cordylochernes scorpioides],347,5,350,223,568,139
GFX49652,dbj|GFX49652.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,7,355,148
KAH0813824,gb|KAH0813824.1| hypothetical protein GEV33_008965 [Tenebrio molitor],347,5,351,3,349,159
GFW70327,dbj|GFW70327.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],351,2,351,7,355,149
UYV72422,"gb|UYV72422.1| hypothetical protein LAZ67_9003066, partial [Cordylochernes scorpioides]",346,6,350,1,344,141
UYV72422,"gb|UYV72422.1| hypothetical protein LAZ67_9003066, partial [Cordylochernes scorpioides]",64,260,323,518,580,30
UYV72422,"gb|UYV72422.1| hypothetical protein LAZ67_9003066, partial [Cordylochernes scorpioides]",73,145,217,471,541,22
GFN82468,dbj|GFN82468.1| endonuclease-reverse transcriptase [Plakobranchus ocellatus],367,4,351,9,375,143
UYV64693,gb|UYV64693.1| hypothetical protein LAZ67_3001681 [Cordylochernes scorpioides],347,5,350,112,457,138
UYV70815,gb|UYV70815.1| LMBRD2 [Cordylochernes scorpioides],347,5,350,96,441,137
UYV70815,gb|UYV70815.1| LMBRD2 [Cordylochernes scorpioides],124,191,314,1,114,35
UYV63007,gb|UYV63007.1| hypothetical protein LAZ67_2002824 [Cordylochernes scorpioides],346,6,350,1,345,139
UYV63007,gb|UYV63007.1| hypothetical protein LAZ67_2002824 [Cordylochernes scorpioides],155,185,339,468,622,70
PNF20350,gb|PNF20350.1| Mariner Mos1 transposase [Cryptotermes secundus] >gb|PNF25331.1| Mariner Mos1 transposase [Cryptotermes secundus] >gb|PNF37025.1| Mariner Mos1 transposase [Cryptotermes secundus] >gb|PNF40184.1| Mariner Mos1 transposase [Cryptotermes secundus],346,6,350,1,345,144
UYV60276,gb|UYV60276.1| hypothetical protein LAZ67_1000678 [Cordylochernes scorpioides],347,5,350,50,395,138
GFX29407,dbj|GFX29407.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,356,147
